"association","fromObjectIdentity","toObjectIdentity"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_referenceDataTypes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/404"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_referenceAttributes"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/classId"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/offset"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/pageSize"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_POST___catalog_models_referenceAttributes"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Modification","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/201"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_PUT___catalog_models_referenceAttributes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Modification","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/If-Match"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/404"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/412"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_DELETE___catalog_models_referenceAttributes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Modification","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/404"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_referenceAttributes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/404"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_POST___catalog_models_attributes"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Modification","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/201"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_attributes"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/classId"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/offset"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/pageSize"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_PUT___catalog_models_attributes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Modification","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/If-Match"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/200"
