"class","identity","core.name","core.description"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/200","200","List of data types"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/200","200","Data type"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/200","200","List of associations"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/200","200","Association"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/200","200","List of association kinds"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/200","200","Association kind"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/200","200","List of classes"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/200","200","Class"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/200","200","List of reference data types"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/200","200","Reference Data Type"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/200","200","List of reference attributes"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/201","201","Created reference attributes"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/200","200","Reference Attribute"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/412","412","Conflicting edit detected"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/200","200","Response"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/200","200","Reference Attribute"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/201","201","Created attributes"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/200","200","List of attributes"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/200","200","Attribute"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/412","412","Conflicting edit detected"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_/200","200","Response"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/200","200","Attribute"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/200","200","An array of links"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/200","200","An array of objects"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/200","200","An array of objects"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/412","412","Conflicting edit detected"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/200","200","An object"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/200","200","An object"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/412","412","Conflicting edit detected"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_/default","default","Unexpected error"
